drug,purpose,mechanism,side_effects
Paracetamol,"Fever, Pain relief","CNS prostaglandin synthesis inhibition","Liver strain at high dose"
Ibuprofen,"Pain, Inflammation","NSAID; COX inhibition","Raises BP, irritates stomach"
Diclofenac,"Pain, Inflammation","NSAID; COX inhibition","GI upset, renal strain"
Naproxen,"Pain, Inflammation","NSAID; COX inhibition","GI irritation"
Aspirin,"Pain, Fever, Antiplatelet","COX inhibition","Bleeding risk, GI upset"
Aceclofenac,"Pain, Inflammation","NSAID","GI discomfort"
Meloxicam,"Pain, Inflammation","COX-2 preference","GI irritation"
Ketorolac,"Acute pain","NSAID; strong","GI/renal risk"
Etoricoxib,"Pain","Selective COX-2 inhibitor","CV risk, edema"
Tramadol,"Moderate pain","Opioid agonist + monoamine reuptake","Drowsiness, nausea"
Cetirizine,"Allergy relief","H1 receptor antagonist","Drowsiness"
Loratadine,"Allergy relief","H1 receptor antagonist","Dry mouth"
Levocetirizine,"Allergy relief","H1 receptor antagonist","Drowsiness"
Fexofenadine,"Allergy relief","H1 receptor antagonist","Headache"
Montelukast,"Allergy, Asthma","Leukotriene receptor antagonist","Mood changes (rare)"
Desloratadine,"Allergy relief","H1 receptor antagonist","Dry mouth"
Chlorpheniramine,"Cold, Allergy","H1 receptor antagonist","Drowsiness"
Diphenhydramine,"Cold, Allergy","H1 receptor antagonist","Sedation"
Phenylephrine,"Nasal decongestant","Alpha agonist","Raises BP"
Promethazine,"Allergy, Nausea","H1 antagonist","Sedation"
Atenolol,"Blood pressure control","Beta-1 selective blocker","Low HR, fatigue"
Metoprolol,"Blood pressure","Beta-1 selective blocker","Dizziness, fatigue"
Amlodipine,"Blood pressure","Calcium channel blocker","Edema"
Losartan,"Blood pressure","ARB","Dizziness, hyperkalemia"
Telmisartan,"Blood pressure","ARB","Dizziness"
Enalapril,"Blood pressure","ACE inhibitor","Cough, hyperkalemia"
Ramipril,"Blood pressure","ACE inhibitor","Cough"
Carvedilol,"Blood pressure, Heart","Beta + alpha blocker","Dizziness"
Bisoprolol,"Blood pressure","Beta-1 selective blocker","Bradycardia"
Hydrochlorothiazide,"Diuretic","Thiazide diuretic","Electrolyte imbalance"
Metformin,"Diabetes","Insulin sensitizer (biguanide)","GI upset"
Glimepiride,"Diabetes","Sulfonylurea; insulin release","Hypoglycemia"
Gliclazide,"Diabetes","Sulfonylurea","Hypoglycemia"
Insulin (Regular),"Diabetes","Insulin replacement","Hypoglycemia"
Insulin Glargine,"Diabetes","Long-acting insulin","Hypoglycemia"
Sitagliptin,"Diabetes","DPP-4 inhibitor","Headache"
Linagliptin,"Diabetes","DPP-4 inhibitor","Nasal symptoms"
Dapagliflozin,"Diabetes","SGLT2 inhibitor","UTI risk"
Empagliflozin,"Diabetes","SGLT2 inhibitor","UTI risk"
Pioglitazone,"Diabetes","PPAR-γ agonist","Edema"
Diazepam,"Anxiety","Benzodiazepine; GABA-A","Sedation"
Alprazolam,"Anxiety","Benzodiazepine","Drowsiness"
Clonazepam,"Seizures/Anxiety","Benzodiazepine","Drowsiness"
Gabapentin,"Neuropathic pain","GABA analog","Dizziness"
Pregabalin,"Neuropathic pain","Calcium channel modulator","Dizziness"
Amitriptyline,"Depression/Neuropathy","TCA","Dry mouth, drowsiness"
Escitalopram,"Depression","SSRI","Nausea"
Fluoxetine,"Depression","SSRI","GI upset"
Sertraline,"Depression","SSRI","Nausea"
Olanzapine,"Psychosis","Atypical antipsychotic","Weight gain"
Amoxicillin,"Antibiotic","Beta-lactam","Rash"
Azithromycin,"Antibiotic","Macrolide","GI upset"
Ciprofloxacin,"Antibiotic","Fluoroquinolone","Tendon risk"
Levofloxacin,"Antibiotic","Fluoroquinolone","Tendon risk"
Cefixime,"Antibiotic","Cephalosporin","GI upset"
Doxycycline,"Antibiotic","Tetracycline","Photosensitivity"
Metronidazole,"Antibiotic","DNA damage (anaerobes)","Metallic taste"
Nitrofurantoin,"Antibiotic","Urinary antiseptic","Pulmonary effects (rare)"
Ofloxacin,"Antibiotic","Fluoroquinolone","Tendon risk"
Clindamycin,"Antibiotic","Lincosamide","C. diff risk"
Pantoprazole,"Acid suppression","PPI","Headache"
Omeprazole,"Acid suppression","PPI","Headache"
Rabeprazole,"Acid suppression","PPI","Headache"
Esomeprazole,"Acid suppression","PPI","Headache"
Ranitidine,"Acid suppression","H2 blocker","Headache"
Famotidine,"Acid suppression","H2 blocker","Headache"
Atorvastatin,"Cholesterol lowering","Statin (HMG-CoA reductase inhibitor)","Muscle pain, liver enzyme rise"
Domperidone,"Nausea","D2 antagonist (peripheral)","QT risk"
Ondansetron,"Nausea","5-HT3 antagonist","Headache"
Sucralfate,"Ulcer protectant","Mucosal coating","Constipation"
Drotaverine,"Antispasmodic","PDE4 inhibitor","Dizziness"
Salbutamol,"Asthma","β2 agonist","Tremor"
Budesonide,"Asthma","Inhaled corticosteroid","Thrush"
Formoterol,"Asthma","LABA","Tremor"
Tiotropium,"COPD","Antimuscarinic","Dry mouth"
Ipratropium,"COPD","Antimuscarinic","Dry mouth"
Theophylline,"Asthma","PDE inhibition","Nausea"
Ambroxol,"Mucolytic","Mucus thinning","GI upset"
Bromhexine,"Mucolytic","Mucus thinning","GI upset"
Acebrophylline,"COPD/Asthma","Xanthine derivative","GI upset"
Levosalbutamol,"Asthma","β2 agonist","Tremor"
Iron supplement,"Anemia","Iron replacement","Constipation"
Folic acid,"Anemia","Vitamin B9","Well tolerated"
Vitamin B complex,"Supplement","B vitamins","Well tolerated"
Vitamin D3,"Supplement","Cholecalciferol","Well tolerated"
Calcium carbonate,"Supplement","Calcium salt","Constipation"
Prednisolone,"Steroid","Glucocorticoid","Immunosuppression"
Hydrocortisone,"Steroid","Glucocorticoid","Immunosuppression"
Levothyroxine,"Thyroid","T4 replacement","Palpitations"
Azathioprine,"Immunosuppressant","Purine analog","Infection risk"
Methotrexate,"Immunosuppressant","DHFR inhibitor","Mucositis"
