disease,drug,risk_delta,effect_delta,explanation
BP,Ibuprofen,15,-5,"NSAIDs may raise BP"
BP,Atenolol,0,-5,"Bradycardia/dizziness monitoring"
Diabetes,Atenolol,10,-10,"May mask hypoglycemia"
Diabetes,Ibuprofen,5,0,"Monitor glycemic control"
BP,Aspirin,5,0,"Bleeding caution at high dose"
Diabetes,Prednisolone,20,-15,"Steroids raise glucose"
Hypertension,,0,0,"No specific adjustment"
Asthma,,0,0,"No specific adjustment"
COPD,,0,0,"No specific adjustment"
Coronary artery disease,,0,0,"No specific adjustment"
Heart failure,,0,0,"No specific adjustment"
Arrhythmia,,0,0,"No specific adjustment"
Hyperlipidemia,,0,0,"No specific adjustment"
Hypothyroidism,,0,0,"No specific adjustment"
Hyperthyroidism,,0,0,"No specific adjustment"
Iron deficiency anemia,,0,0,"No specific adjustment"
Sickle cell disease,,0,0,"No specific adjustment"
Thalassemia,,0,0,"No specific adjustment"
Chronic kidney disease,,0,0,"No specific adjustment"
Urinary tract infection,,0,0,"No specific adjustment"
Hepatitis B,,0,0,"No specific adjustment"
Hepatitis C,,0,0,"No specific adjustment"
Cirrhosis,,0,0,"No specific adjustment"
GERD,,0,0,"No specific adjustment"
Peptic ulcer disease,,0,0,"No specific adjustment"
Chronic kidney disease,Metformin,100,-20,"Metformin is contraindicated in severe renal impairment"
Peptic ulcer disease,Ibuprofen,80,0,"NSAIDs like Ibuprofen may worsen ulcers; avoid or use gastroprotection"
Irritable bowel syndrome,,0,0,"No specific adjustment"
Ulcerative colitis,,0,0,"No specific adjustment"
Crohn's disease,,0,0,"No specific adjustment"
Migraine,,0,0,"No specific adjustment"
Epilepsy,,0,0,"No specific adjustment"
Stroke,,0,0,"No specific adjustment"
Osteoarthritis,,0,0,"No specific adjustment"
Rheumatoid arthritis,,0,0,"No specific adjustment"
Gout,,0,0,"No specific adjustment"
Osteoporosis,,0,0,"No specific adjustment"
Depression,,0,0,"No specific adjustment"
Anxiety,,0,0,"No specific adjustment"
Schizophrenia,,0,0,"No specific adjustment"
Bipolar disorder,,0,0,"No specific adjustment"
Insomnia,,0,0,"No specific adjustment"
Psoriasis,,0,0,"No specific adjustment"
Eczema,,0,0,"No specific adjustment"
Acne,,0,0,"No specific adjustment"
Dermatitis,,0,0,"No specific adjustment"
Allergic rhinitis,,0,0,"No specific adjustment"
Sinusitis,,0,0,"No specific adjustment"
Otitis media,,0,0,"No specific adjustment"
Pharyngitis,,0,0,"No specific adjustment"
Bronchitis,,0,0,"No specific adjustment"
Pneumonia,,0,0,"No specific adjustment"
Tuberculosis,,0,0,"No specific adjustment"
Malaria,,0,0,"No specific adjustment"
Dengue,,0,0,"No specific adjustment"
Typhoid,,0,0,"No specific adjustment"
COVID-19,,0,0,"No specific adjustment"
Influenza,,0,0,"No specific adjustment"
HIV,,0,0,"No specific adjustment"
Cancer,,0,0,"No specific adjustment"
Breast cancer,,0,0,"No specific adjustment"
Prostate cancer,,0,0,"No specific adjustment"
Lung cancer,,0,0,"No specific adjustment"
Colorectal cancer,,0,0,"No specific adjustment"
PCOS,,0,0,"No specific adjustment"
Endometriosis,,0,0,"No specific adjustment"
Menopause,,0,0,"No specific adjustment"
Pregnancy,,0,0,"No specific adjustment"
Lactation,,0,0,"No specific adjustment"
BPH,,0,0,"No specific adjustment"
Erectile dysfunction,,0,0,"No specific adjustment"
Glaucoma,,0,0,"No specific adjustment"
Cataract,,0,0,"No specific adjustment"
Conjunctivitis,,0,0,"No specific adjustment"
Dental infection,,0,0,"No specific adjustment"
Periodontitis,,0,0,"No specific adjustment"
Obesity,,0,0,"No specific adjustment"
Underweight,,0,0,"No specific adjustment"
Malnutrition,,0,0,"No specific adjustment"
Dehydration,,0,0,"No specific adjustment"
Heat stroke,,0,0,"No specific adjustment"
Snake bite,,0,0,"No specific adjustment"
Dog bite,,0,0,"No specific adjustment"
Burns,,0,0,"No specific adjustment"
Trauma,,0,0,"No specific adjustment"
Post-operative state,,0,0,"No specific adjustment"
Fever,,0,0,"No specific adjustment"
Acute pain,,0,0,"No specific adjustment"
Chronic pain,,0,0,"No specific adjustment"
Back pain,,0,0,"No specific adjustment"
Sciatica,,0,0,"No specific adjustment"
Neuropathy,,0,0,"No specific adjustment"
Hepatic failure,,0,0,"No specific adjustment"
Renal failure,,0,0,"No specific adjustment"
Dialysis,,0,0,"No specific adjustment"
Transplant recipient,,0,0,"No specific adjustment"
Autoimmune disease,,0,0,"No specific adjustment"
Systemic lupus erythematosus,,0,0,"No specific adjustment"
Multiple sclerosis,,0,0,"No specific adjustment"
Parkinson's disease,,0,0,"No specific adjustment"
Alzheimer's disease,,0,0,"No specific adjustment"
ADHD,,0,0,"No specific adjustment"
Autism spectrum disorder,,0,0,"No specific adjustment"
Substance abuse,,0,0,"No specific adjustment"
Alcohol use disorder,,0,0,"No specific adjustment"
Smoking,,0,0,"No specific adjustment"
Drug allergy,,0,0,"No specific adjustment"
Food allergy,,0,0,"No specific adjustment"
Lactose intolerance,,0,0,"No specific adjustment"
Celiac disease,,0,0,"No specific adjustment"
Vitamin D deficiency,,0,0,"No specific adjustment"
Vitamin B12 deficiency,,0,0,"No specific adjustment"
Hypokalemia,,0,0,"No specific adjustment"
Hyperkalemia,,0,0,"No specific adjustment"
Hyponatremia,,0,0,"No specific adjustment"
Hypernatremia,,0,0,"No specific adjustment"
Sepsis,,0,0,"No specific adjustment"
Atrial fibrillation,,0,0,"No specific adjustment"
Deep vein thrombosis,,0,0,"No specific adjustment"
Pulmonary embolism,,0,0,"No specific adjustment"
Anaphylaxis,,0,0,"No specific adjustment"
First trimester pregnancy,,0,0,"No specific adjustment"
Second trimester pregnancy,,0,0,"No specific adjustment"
Third trimester pregnancy,,0,0,"No specific adjustment"
